democ_satis,democ_supp,left_right_scale,job_concern,econ_situation,confidence_congress,confidence_judiciary,confidence_church,confidence_police,confidence_army,confidence_political_parties,resp_sex,resp_age,resp_education,resp_employment,resp_religion,goods_wash_mach,goods_car,goods_sewage,goods_hot_water,resp_chief,anio,resp_economic_perception,country_name,iso3,satisfecho_democracia,democ_supp_cat,ideologia_cat,econ_situation_cat,resp_economic_perception_cat,goods_wash_mach_bin,goods_car_bin,goods_sewage_bin,goods_hot_water_bin,confidence_congress_alta,confidence_judiciary_alta,confidence_church_alta,confidence_police_alta,confidence_army_alta,confidence_political_parties_alta,tasa_participacion_global,tasa_desempleo,empleo_formal,empleo_informal,ingreso_promedio_pc,ingreso_promedio_laboral,gini_ingpc,pobreza_ingresos,pobreza_extrema_ingresos,n_personas_muestra,country_name_vdem,country_text_id,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2xel_frefair,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr,v2pepwrses,v2pepwrsoc,v2pepwrgen,v2pepwrort,v2pepwrgeo
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,48.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,85.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,50.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,28.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,42.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,1.0,6.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,45.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,centro,regular,,False,False,True,False,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,48.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,indiferente,centro,positiva,,False,True,True,False,False,False,True,True,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,34.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,regular,,False,True,True,False,False,False,True,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,7.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,28.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,derecha,regular,,False,False,False,False,False,False,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,1.0,8.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,20.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,derecha,positiva,,False,False,False,False,False,True,False,True,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,43.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,centro,regular,,True,False,False,False,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,50.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,centro,regular,,True,False,False,False,False,False,True,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,24.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,izquierda,positiva,,False,False,True,False,False,False,True,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,29.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,centro,regular,,True,False,True,True,False,False,False,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,30.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,izquierda,positiva,,True,False,True,True,False,False,True,True,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,43.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,25.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,izquierda,positiva,,True,False,True,True,False,False,True,True,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,22.0,6.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,positiva,,True,False,True,False,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,26.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,izquierda,positiva,,True,False,True,False,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
1.0,1.0,,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,21.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,True,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
1.0,1.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,22.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,centro,positiva,,False,False,True,False,False,False,True,True,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
1.0,1.0,,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,43.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,False,False,False,True,True,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,7.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,39.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,8.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,50.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,9.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,35.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,37.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0.0,indiferente,izquierda,regular,,False,True,True,True,False,False,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,19.0,6.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_autoritarismo,izquierda,positiva,,False,False,True,True,True,True,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,32.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0.0,indiferente,centro,regular,,True,True,True,True,True,False,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,2.0,0.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,61.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_autoritarismo,izquierda,positiva,,True,False,True,True,False,False,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,3.0,9.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,58.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,0.0,indiferente,derecha,positiva,,True,False,True,True,False,False,True,False,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,70.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,positiva,,True,True,True,False,False,False,True,True,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,22.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,28.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,True,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,41.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,True,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,27.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,61.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,True,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,60.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,25.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,30.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,29.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,32.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1.0,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,36.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,regular,,False,False,True,False,False,False,True,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0,2.0,35.0,5.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,izquierda,positiva,,False,False,True,False,False,False,True,True,True,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
3.0,1.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,70.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0.0,prefiere_democracia,centro,positiva,,False,False,True,False,False,False,True,False,False,False,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,Ecuador,ECU,75,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
